,Name,date,Earliest appearance,Works featured in,Description
107,Elaine of Astolat,1470.0,"Le Morte d'Arthur, 1470",The Lady of Shalott,"Daughter of Bernard of Astolat, classic Arthurian figure of unrequited love"
108,Lynette,1470.0,"Le Morte d'Arthur, c. 1470",Idylls of the King,"Seeks aid from Arthur to rescue her sister Lyonesse, Arthur sends an incognito Gareth, who she berates until he proves his worth"
109,Lyonesse,1470.0,"Le Morte d'Arthur, c. 1470",Idylls of the King,"Entrapped sister of Lynette, rescued by Gareth, whom she eventually marries"
4,Black Knight,1485.0,,,King Arthur's grandson through Tom a Lincoln. Another Black Knight is an antagonist figure
19,Elaine of Listenoise,1485.0,,Le Morte d'Arthur,"Daughter of King Pellinore, lover of Sir Miles of the Laundes"
24,Gaheris†,1485.0,,"Le Morte d'Arthur, The Once and Future King","Son of King Lot and Morgause, brother to Gawain, Agravaine, and Gareth, and half-brother to Mordred"
25,Gareth†,1485.0,,"Le Morte d'Arthur, Idylls of the King, The Once and Future King","Also a son of Lot and Morgause, in love with Lyonesse"
39,Lucan†,1485.0,,Le Morte d'Arthur,"Servant to King Arthur, Bedivere's brother, Griflet's cousin"
52,Tor†,1485.0,,Le Morte d'Arthur,"Son of King Ars, adopted by Pellinore"
106,Andred,1485.0,Le Morte d'Arthur,,Cousin of Tristram
77,Tom Thumb,1584.0,Discovery of Witchcraft,"The History of Tom Thumb, Tom Thumb, The Tragedy of Tragedies","A tiny creation of Merlin, later becomes Arthur's court dwarf and an honorary knight"
142,Tom a Lincoln†,1591.0,"Tom a Lincoln part 1, 1599; possibly mentioned in Robert Greene's Farewell to Folly, 1591",,Illegitimate son of King Arthur through Angelica
10,Caelia,1599.0,,"The Faerie Queene, 1590; Tom a Lincoln part 1, 1599","Tom a'Lincoln's lover, mother to the Faerie Knight"
141,"Faerie Knight, The",1599.0,"Tom a Lincoln part 1, 1599",,"Illegitimate son of Tom a'Lincoln and Caelia, the Faerie Queen, half brother to the Black Knight"
15,Dagonet†,1885.0,,Idylls of the King,Arthur's court jester
44,Parcenet,1903.0,,The Story of King Arthur and His Knights,A maid from Queen Ettarre's court who helps Sir Pelleas
0,Aglovale†,1905.0,,"The Life of Sir Aglovale de Galis, The Once and Future King",King Pellinore's eldest son
7,Bruin,1910.0,,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","Unknown Family, One of the original 32 Knights of the Round Table"
17,Durnure,1910.0,,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","One of Three Sons of King Pellinore, one of the original 32 Knights of the Round Table"
22,Epinogres,1910.0,,"First Named in ""King Arthur Meets Lady Guinevere"" Howard Pyle","Son of King of Umberland, and brother unto Enchantress Vivien, one of the original 32 Knights of the Round Table"
